Round,Pitch,Pitch,Pitch,Pitch,Pitch,Pitch,
,1,1,2,2,3,3,
,Team,Team,Team,Team,Team,Team,
,1,2,1,2,1,2,
1,School,Judde,Park,Hill Side,Parkside,Ferox,
1,Manor,Welldon,Smythe,Whitworth,Cowdrey,Oakeshott,
1,School,Park,Judde,Hill Side,Parkside,Welldon,
1,Ferox,Whitworth,Smythe,Oakeshott,Manor,Cowdrey,
2,School,Hill Side,Judde,Parkside,Park,Ferox,
2,Welldon,Whitworth,Smythe,Cowdrey,Manor,Oakeshott,
2,School,Parkside,Judde,Ferox,Hill Side,Welldon,
2,Park,Oakeshott,Smythe,Manor,Cowdrey,Whitworth,
3,Ferox,Welldon,Parkside,Whitworth,Judde,Oakeshott,
3,Judde,Welldon,School,Smythe,Hill Side,Parkside,
3,Cowdrey,Park,Ferox,Manor,Hill Side,Smythe,
3,Oakeshott,School,Park,Whitworth,Judde,Manor,
4,Judde,Smythe,Cowdrey,School,Manor,Parkside,
4,Oakeshott,Welldon,Ferox,Hill Side,Park,Smythe,
4,Hill Side,Manor,Cowdrey,Welldon,Judde,Whitworth,
5,Manor,Whitworth,Cowdrey,Parkside,Hill Side,Oakeshott,
5,Smythe,Welldon,Hill Side,Whitworth,Cowdrey,Ferox,
5,School,Whitworth,Ferox,Oakeshott,Judde,Park,
5,Ferox,School,Manor,Park,Oakeshott,Parkside,
6,Parkside,Smythe,Manor,School,Cowdrey,Hill Side,
6,Oakeshott,Whitworth,Park,Parkside,School,Welldon,
6,Park,Welldon,Cowdrey,Judde,Ferox,Smythe,
